"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","pres","hr","pres_nmar","tamin","ta","tamax","tpr","rviento"
"6172O",-4.41972,"2020-09-28T16:00:00",0,25,3.3,1.2,122,36.716663,135,"MÁLAGA PUERTO",1010.3,74,1013.2,21,21.8,22.4,17,62
"6172O",-4.41972,"2020-09-28T17:00:00",0,25,2.6,0.4,83,36.716663,139,"MÁLAGA PUERTO",1010.4,71,1013.3,21.3,22.2,22.7,16.7,30
"6172O",-4.41972,"2020-09-28T18:00:00",0,25,2.4,1.3,102,36.716663,94,"MÁLAGA PUERTO",1010.9,62,1013.8,21.3,21.6,22.6,14,17
"6172O",-4.41972,"2020-09-28T19:00:00",0,25,2.8,0,158,36.716663,91,"MÁLAGA PUERTO",1011.4,67,1014.3,21,21.1,21.6,14.7,30
"6172O",-4.41972,"2020-09-28T20:00:00",0,25,1.3,0,172,36.716663,105,"MÁLAGA PUERTO",1011.7,75,1014.6,20.3,20.5,21.1,15.9,3
"6172O",-4.41972,"2020-09-28T21:00:00",0,25,0.1,0,185,36.716663,135,"MÁLAGA PUERTO",1012.4,76,1015.3,20,20.1,20.7,15.7,0
"6172O",-4.41972,"2020-09-28T22:00:00",0,25,0.2,0,56,36.716663,56,"MÁLAGA PUERTO",1012.7,77,1015.6,19.7,19.7,20.2,15.5,0
"6172O",-4.41972,"2020-09-28T23:00:00",0,25,1.2,0.1,356,36.716663,22,"MÁLAGA PUERTO",1012.8,65,1015.7,18.8,19.5,19.8,12.7,1
"6172O",-4.41972,"2020-09-29T00:00:00",0,25,3.2,0.1,347,36.716663,350,"MÁLAGA PUERTO",1012.8,58,1015.7,19.4,19.8,19.9,11.3,13
"6172O",-4.41972,"2020-09-29T01:00:00",0,25,4,0.1,329,36.716663,331,"MÁLAGA PUERTO",1012.8,56,1015.7,19.4,19.4,19.9,10.4,37
"6172O",-4.41972,"2020-09-29T02:00:00",0,25,2.4,0.1,334,36.716663,352,"MÁLAGA PUERTO",1012.4,56,1015.3,19.4,19.4,19.5,10.4,9
"6172O",-4.41972,"2020-09-29T03:00:00",0,25,4,2.5,333,36.716663,329,"MÁLAGA PUERTO",1012,55,1014.9,19.1,19.3,19.4,10,44
"6172O",-4.41972,"2020-09-29T04:00:00",0,25,4.4,0.2,331,36.716663,326,"MÁLAGA PUERTO",1012.1,54,1015,18.9,19.1,19.3,9.6,33
"6172O",-4.41972,"2020-09-29T05:00:00",0,25,4.6,3.2,325,36.716663,325,"MÁLAGA PUERTO",1012.4,52,1015.4,18.7,18.8,19,8.8,96
"6172O",-4.41972,"2020-09-29T06:00:00",0,25,4.1,0.7,333,36.716663,334,"MÁLAGA PUERTO",1012.8,48,1015.8,18.8,19,19.2,7.7,24
"6172O",-4.41972,"2020-09-29T07:00:00",0,25,5.1,3.3,330,36.716663,332,"MÁLAGA PUERTO",1012.6,44,1015.5,19,19.8,19.8,7.1,93
"6172O",-4.41972,"2020-09-29T08:00:00",0,25,5.2,1.1,329,36.716663,344,"MÁLAGA PUERTO",1012.7,40,1015.6,19.8,22.1,22.1,7.8,94
"6172O",-4.41972,"2020-09-29T09:00:00",0,25,1.8,0.1,196,36.716663,352,"MÁLAGA PUERTO",1012.9,33,1015.8,22.4,26.8,27.1,9.2,1
"6172O",-4.41972,"2020-09-29T10:00:00",0,25,0.5,0.1,180,36.716663,186,"MÁLAGA PUERTO",1013.6,32,1016.5,25.6,25.6,27.3,7.7,5
"6172O",-4.41972,"2020-09-29T11:00:00",0,25,0.6,0.2,163,36.716663,143,"MÁLAGA PUERTO",1013.5,35,1016.4,25.2,25.9,25.9,9.3,5
"6172O",-4.41972,"2020-09-29T12:00:00",0,25,3.4,2.3,175,36.716663,170,"MÁLAGA PUERTO",1013.2,37,1016.1,25.2,25.4,26,9.7,47
"6172O",-4.41972,"2020-09-29T13:00:00",0,25,3.5,0.6,164,36.716663,170,"MÁLAGA PUERTO",1012.4,35,1015.3,25.1,26.2,26.2,9.6,65
"6172O",-4.41972,"2020-09-29T14:00:00",0,25,2.8,1.6,157,36.716663,118,"MÁLAGA PUERTO",1011.9,35,1014.8,25.5,25.7,26.7,9,36
"6172O",-4.41972,"2020-09-29T15:00:00",0,25,2.9,1.9,132,36.716663,131,"MÁLAGA PUERTO",1011.6,39,1014.5,23.4,23.6,25.6,8.8,59
