"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","02","Despejado","0","02","0","02","8","02","6","02","79","02","2023-02-27T00:00:00","07:54","19:13","NO","12","02","24"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","03","Despejado","0","03","0","03","8","03","6","03","77","03","2023-02-27T00:00:00","07:54","19:13","NO","13","03","27"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","04","Despejado","0","04","0","04","8","04","6","04","77","04","2023-02-27T00:00:00","07:54","19:13","NO","13","04","24"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","05","Despejado","0","05","0","05","7","05","5","05","76","05","2023-02-27T00:00:00","07:54","19:13","NO","13","05","24"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","06","Despejado","0","06","0","06","7","06","5","06","79","06","2023-02-27T00:00:00","07:54","19:13","NO","12","06","23"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","07","Despejado","0","07","0","07","6","07","3","07","78","07","2023-02-27T00:00:00","07:54","19:13","NO","12","07","27"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","08","Despejado","0","08","0","08","6","08","3","08","79","08","2023-02-27T00:00:00","07:54","19:13","NO","14","08","28"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","7","09","4","09","69","09","2023-02-27T00:00:00","07:54","19:13","NO","15","09","34"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","9","10","6","10","64","10","2023-02-27T00:00:00","07:54","19:13","NO","18","10","35"
"2023-02-27T08:07:12","Casares","Málaga","29041","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/casares-id29041","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","11","11","11","11","64","11","2023-02-27T00:00:00","07:54","19:13","O","18","11","38"
