"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","15","Despejado","0","15","0","15","16","15","16","15","46","15","2023-02-27T00:00:00","07:54","19:13","O","29","15","48"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","16","Despejado","0","16","0","16","16","16","16","16","41","16","2023-02-27T00:00:00","07:54","19:13","O","27","16","43"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","12","17","Poco nuboso","0","17","0","17","15","17","15","17","43","17","2023-02-27T00:00:00","07:54","19:13","O","24","17","38"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","18","Despejado","0","18","0","18","15","18","15","18","49","18","2023-02-27T00:00:00","07:54","19:13","O","21","18","26"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","19","Despejado","0","19","0","19","14","19","14","19","52","19","2023-02-27T00:00:00","07:54","19:13","O","15","19","18"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","20","Despejado","0","20","0","20","13","20","13","20","56","20","2023-02-27T00:00:00","07:54","19:13","O","11","20","17"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","21","Despejado","0","21","0","21","12","21","12","21","63","21","2023-02-27T00:00:00","07:54","19:13","O","10","21","15"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","22","Despejado","0","22","0","22","11","22","11","22","71","22","2023-02-27T00:00:00","07:54","19:13","O","10","22","18"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","23","Despejado","0","23","0","23","10","23","10","23","70","23","2023-02-27T00:00:00","07:54","19:13","O","12","23","17"
"2023-02-27T08:07:12","Manilva","Málaga","29068","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/manilva-id29068","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","00","Despejado","0","00","0","00","10","00","10","00","71","00","2023-02-28T00:00:00","07:53","19:14","O","11","00","20"
