"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","02","Despejado","0","02","0","02","11","02","11","02","65","02","2023-02-27T00:00:00","07:51","19:09","NO","11","02","14"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","03","Despejado","0","03","0","03","11","03","11","03","67","03","2023-02-27T00:00:00","07:51","19:09","O","10","03","13"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","04","Despejado","0","04","0","04","11","04","11","04","69","04","2023-02-27T00:00:00","07:51","19:09","O","10","04","15"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","05","Despejado","0","05","0","05","10","05","10","05","69","05","2023-02-27T00:00:00","07:51","19:09","O","11","05","17"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","06","Despejado","0","06","0","06","10","06","10","06","70","06","2023-02-27T00:00:00","07:51","19:09","O","12","06","18"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","07","Despejado","0","07","0","07","10","07","10","07","72","07","2023-02-27T00:00:00","07:51","19:09","O","13","07","19"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","08","Despejado","0","08","0","08","9","08","7","08","74","08","2023-02-27T00:00:00","07:51","19:09","NO","13","08","24"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","10","09","10","09","66","09","2023-02-27T00:00:00","07:51","19:09","O","16","09","33"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","11","10","11","10","59","10","2023-02-27T00:00:00","07:51","19:09","O","22","10","35"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","13","11","13","11","51","11","2023-02-27T00:00:00","07:51","19:09","O","22","11","35"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","12","Despejado","0","12","0","12","14","12","14","12","41","12","2023-02-27T00:00:00","07:51","19:09","O","22","12","40"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","13","Despejado","0","13","0","13","15","13","15","13","29","13","2023-02-27T00:00:00","07:51","19:09","O","25","13","41"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","14","Despejado","0","14","0","14","15","14","15","14","26","14","2023-02-27T00:00:00","07:51","19:09","NO","25","14","43"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","15","Despejado","0","15","0","15","16","15","16","15","25","15","2023-02-27T00:00:00","07:51","19:09","NO","26","15","49"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","16","Despejado","0","16","0","16","16","16","16","16","23","16","2023-02-27T00:00:00","07:51","19:09","NO","30","16","48"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","17","Despejado","0","17","0","17","15","17","15","17","24","17","2023-02-27T00:00:00","07:51","19:09","NO","30","17","41"
"2023-02-27T08:07:12","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","18","Despejado","0","18","0","18","14","18","14","18","27","18","2023-02-27T00:00:00","07:51","19:09","NO","25","18","33"
