idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,pres,hr,stdvv,ts,pres_nmar,tamin,ta,tamax,tpr,stddv,inso
6155A,-4.482358,2020-09-27T00:00:00,0,5,6.2,4.3,290,36.6662,290,MÁLAGA/AEROPUERTO,1014.1,55,0.4,18,1014.9,19.1,19.2,20.1,9.9,1,0
6155A,-4.482358,2020-09-27T01:00:00,0,5,5.7,3.9,280,36.6662,290,MÁLAGA/AEROPUERTO,1013.9,58,0.3,16.9,1014.7,17.8,18,19.1,9.6,1,0
6155A,-4.482358,2020-09-27T02:00:00,0,5,6.2,4.2,290,36.6662,290,MÁLAGA/AEROPUERTO,1013.8,56,0.2,16.9,1014.6,17.9,18,18.7,9,3,0
6155A,-4.482358,2020-09-27T03:00:00,0,5,5.7,3.5,280,36.6662,300,MÁLAGA/AEROPUERTO,1013.9,59,0.3,16.1,1014.7,16.9,17,17.9,8.9,3,0
6155A,-4.482358,2020-09-28T04:00:00,0,5,5.1,2.8,290,36.6662,270,MÁLAGA/AEROPUERTO,1013.8,56,0.2,15.9,1014.6,17.1,17.5,17.7,8.7,2,0
6155A,-4.482358,2020-09-27T05:00:0,0,5,4.1,3.3,290,36.6662,300,MÁLAGA/AEROPUERTO,1014,60,0.2,15.7,1014.8,16.4,16.7,17.8,8.9,6,0
6155A,-4.482358,2020-09-27T06:00:00,0,5,4.1,3.5,300,36.6662,300,MÁLAGA/AEROPUERTO,1014.6,65,0.2,14.9,1015.4,15.3,15.5,16.5,8.9,3,0
6155A,-4.482358,2020-09-27T07:00:00,0,5,4.6,3.1,300,36.6662,300,MÁLAGA/AEROPUERTO,1015.1,64,0.5,15.2,1015.9,14.9,16,16.1,9.2,4,16
6155A,-4.482358,2020-09-27T08:00:00,0,5,5.7,3.6,290,36.6662,290,MÁLAGA/AEROPUERTO,1015.5,52,0.3,19.5,1016.3,16.2,19.4,19.7,9.3,4,60
6155A,-4.482358,2020-09-27T09:00:00,0,5,4.6,2.9,280,36.6662,290,MÁLAGA/AEROPUERTO,1015.6,42,0.2,24.1,1016.4,19.8,23.2,23.5,9.6,12,60
