"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","pres","hr","pres_nmar","tamin","ta","tamax","tpr","rviento"
"6172O",-4.41972,"2020-09-27T10:00:00",0,25,8.5,3,279,36.716663,267,"MÁLAGA PUERTO",1008.4,41,1011.3,22.2,24.6,24.6,10.5,133
"6172O",-4.41972,"2020-09-27T11:00:00",0,25,8.1,4.4,286,36.716663,306,"MÁLAGA PUERTO",1008.3,38,1011.2,24.3,25.3,26.2,9.9,119
"6172O",-4.41972,"2020-09-27T12:00:00",0,25,6.7,0.2,253,36.716663,316,"MÁLAGA PUERTO",1007.8,36,1010.7,25.7,27.5,28.2,11.1,49
"6172O",-4.41972,"2020-09-27T13:00:00",0,25,1,0.2,235,36.716663,185,"MÁLAGA PUERTO",1007.3,35,1010.1,27.4,28.9,29,11.9,8
"6172O",-4.41972,"2020-09-27T14:00:00",0,25,6,1.9,190,36.716663,173,"MÁLAGA PUERTO",1007,47,1009.9,24.4,24.4,28.8,12.3,63
"6172O",-4.41972,"2020-09-27T15:00:00",0,25,6,1.4,126,36.716663,214,"MÁLAGA PUERTO",1007.3,49,1010.2,23,24.7,25.4,13.3,101
"6172O",-4.41972,"2020-09-27T16:00:00",0,25,4.5,0.2,140,36.716663,172,"MÁLAGA PUERTO",1007.6,46,1010.5,22.3,25.2,25.5,12.7,62
"6172O",-4.41972,"2020-09-27T17:00:00",0,25,4.1,2,85,36.716663,79,"MÁLAGA PUERTO",1008,58,1010.9,21.6,22.2,25.5,13.6,63
"6172O",-4.41972,"2020-09-27T18:00:00",0,25,4.2,2.7,81,36.716663,98,"MÁLAGA PUERTO",1008.4,65,1011.3,21.1,21.3,22.1,14.4,91
"6172O",-4.41972,"2020-09-27T19:00:00",0,25,3.4,1.1,109,36.716663,70,"MÁLAGA PUERTO",1008.8,75,1011.7,20.1,20.3,21.4,15.7,64
"6172O",-4.41972,"2020-09-27T20:00:00",0,25,2.3,1.5,12,36.716663,19,"MÁLAGA PUERTO",1009.5,52,1012.4,19.7,21.9,21.9,11.6,14
"6172O",-4.41972,"2020-09-27T21:00:00",0,25,3.7,2.1,1,36.716663,332,"MÁLAGA PUERTO",1010.1,40,1013,22.1,22.3,22.8,8,54
"6172O",-4.41972,"2020-09-27T22:00:00",0,25,4.4,0.1,329,36.716663,348,"MÁLAGA PUERTO",1010.5,40,1013.4,21.7,21.7,22.4,7.6,48
"6172O",-4.41972,"2020-09-27T23:00:00",0,25,4.3,2,335,36.716663,339,"MÁLAGA PUERTO",1010.6,41,1013.5,21.4,21.4,21.7,7.6,46
"6172O",-4.41972,"2020-09-28T00:00:00",0,25,4.2,1.8,325,36.716663,327,"MÁLAGA PUERTO",1010.5,40,1013.4,21.3,21.4,21.7,7.3,82
"6172O",-4.41972,"2020-09-28T01:00:00",0,25,4.3,0,315,36.716663,325,"MÁLAGA PUERTO",1010.5,42,1013.4,20.7,20.7,21.4,7.3,22
"6172O",-4.41972,"2020-09-28T02:00:00",0,25,3.3,1.2,352,36.716663,17,"MÁLAGA PUERTO",1010.4,42,1013.3,20.5,20.5,20.9,7.1,34
"6172O",-4.41972,"2020-09-28T03:00:00",0,25,2.7,0.2,345,36.716663,330,"MÁLAGA PUERTO",1010.4,43,1013.3,20.1,20.2,20.5,7.3,7
"6172O",-4.41972,"2020-09-28T04:00:00",0,25,3.2,0.5,58,36.716663,340,"MÁLAGA PUERTO",1010.6,48,1013.5,18.9,18.9,20.2,7.7,32
"6172O",-4.41972,"2020-09-28T05:00:00",0,25,0.5,0.1,329,36.716663,324,"MÁLAGA PUERTO",1010.6,44,1013.5,18.8,19.3,19.7,6.7,1
"6172O",-4.41972,"2020-09-28T06:00:00",0,25,3.7,1.9,348,36.716663,340,"MÁLAGA PUERTO",1011.1,44,1014,19.1,19.3,19.4,6.7,44
"6172O",-4.41972,"2020-09-28T07:00:00",0,25,4.4,0.9,328,36.716663,337,"MÁLAGA PUERTO",1011.2,43,1014.1,19,19.7,19.7,6.7,24
"6172O",-4.41972,"2020-09-28T08:00:00",0,25,4.8,1.5,341,36.716663,341,"MÁLAGA PUERTO",1011,40,1013.9,19.7,22.4,22.4,8.1,66
"6172O",-4.41972,"2020-09-28T09:00:00",0,25,1,0,171,36.716663,94,"MÁLAGA PUERTO",1011.5,34,1014.4,22.4,26.6,26.9,9.4,1
