idema,lon,fint,prec,alt,vmax,vv,dv,lat,dmax,ubi,pres,hr,pres_nmar,tamin,ta,tamax,tpr,rviento
6156X,-4.48167,2020-09-27T00:00:00,0,54,3.7,1.9,304,36.717785,298,MÁLAGA CMT,1008.8,50,1015.1,19.9,20.9,21.2,10,64
6156X,-4.48167,2020-09-27T01:00:00,0,54,3.5,0.4,314,36.717785,332,MÁLAGA CMT,1008.6,50,1014.9,20,20,21.1,9.3,50
6156X,-4.48167,2020-09-27T02:00:00,0,54,2.9,1.2,264,36.717785,264,MÁLAGA CMT,1008.7,56,1015.1,18.2,18.2,20,9.3,42
6156X,-4.48167,2020-09-27T03:00:00,0,54,2.7,0.8,307,36.717785,270,MÁLAGA CMT,1008.7,55,1015.1,18.1,18.3,18.5,9,33
6156X,-4.48167,2020-09-27T04:00:00,0,54,1.7,0,0,36.717785,255,MÁLAGA CMT,1008.8,56,1015.2,17.6,17.7,18.5,8.8,15
6156X,-4.48167,2020-09-27T05:00:00,0,54,1.4,0.4,327,36.717785,339,MÁLAGA CMT,1008.9,61,1015.3,16.7,16.7,17.7,9.2,7
6156X,-4.48167,2020-09-27T06:00:00,0,54,1.8,1.1,315,36.717785,327,MÁLAGA CMT,1009.4,61,1015.8,16.3,16.6,16.8,9,20
6156X,-4.48167,2020-09-27T07:00:00,0,54,2.9,1.2,255,36.717785,259,MÁLAGA CMT,1009.9,61,1016.3,16.2,17.5,17.5,9.9,34
6156X,-4.48167,2020-09-27T08:00:00,0,54,3.1,1.3,256,36.717785,260,MÁLAGA CMT,1010.1,56,1016.4,17.5,20.7,20.7,11.6,39
6156X,-4.48167,2020-09-27T09:00:00,0,54,3.3,1.9,251,36.717785,236,MÁLAGA CMT,1010.2,47,1016.4,20.6,24.2,24.2,12.2,69
