"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","02","Nubes altas","0","02","0","02","21","02","21","02","61","02","2020-09-10T00:00:00","07:55","20:32","NO","3","02","4"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12n","03","Poco nuboso","0","03","0","03","21","03","21","03","64","03","2020-09-10T00:00:00","07:55","20:32","NO","4","03","6"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","12n","04","Poco nuboso","0","04","0","04","21","04","21","04","60","04","2020-09-10T00:00:00","07:55","20:32","O","5","04","7"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","05","Nubes altas","0","05","0","05","21","05","21","05","60","05","2020-09-10T00:00:00","07:55","20:32","O","10","05","13"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","06","Nubes altas","0","06","0","06","21","06","21","06","59","06","2020-09-10T00:00:00","07:55","20:32","NO","10","06","14"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17n","07","Nubes altas","0","07","0","07","20","07","20","07","56","07","2020-09-10T00:00:00","07:55","20:32","O","9","07","14"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","17","08","Nubes altas","0","08","0","08","22","08","22","08","52","08","2020-09-10T00:00:00","07:55","20:32","O","10","08","14"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","24","09","24","09","47","09","2020-09-10T00:00:00","07:55","20:32","O","10","09","15"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","26","10","26","10","41","10","2020-09-10T00:00:00","07:55","20:32","O","7","10","15"
"2020-09-10T15:11:50","Málaga","Málaga","29067","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","http://www.aemet.es","http://www.aemet.es/es/eltiempo/prediccion/municipios/horas/malaga-id29067","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","http://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","27","11","27","11","39","11","2020-09-10T00:00:00","07:55","20:32","SE","6","11","11"
