"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","pres","hr","pres_nmar","tamin","ta","tamax","tpr","rviento"
"6156X",-4.48167,"2020-09-09T15:00:00",0,54,6,3.4,141,36.717785,176,"MÁLAGA CMT",1013,44,1019.2,27,27.5,28.5,14.1,128
"6156X",-4.48167,"2020-09-09T16:00:00",0,54,5.9,3.9,138,36.717785,141,"MÁLAGA CMT",1012.8,43,1019,26.2,26.5,28.1,13,124
"6156X",-4.48167,"2020-09-09T17:00:00",0,54,5.7,3.5,126,36.717785,137,"MÁLAGA CMT",1012.6,47,1018.8,25.6,25.6,26.6,13.5,132
"6156X",-4.48167,"2020-09-09T18:00:00",0,54,5.3,3,135,36.717785,114,"MÁLAGA CMT",1012.6,50,1018.8,24.5,24.5,25.9,13.4,115
"6156X",-4.48167,"2020-09-09T19:00:00",0,54,4.3,2.1,129,36.717785,148,"MÁLAGA CMT",1013,65,1019.3,23.2,23.2,24.6,16.2,96
"6156X",-4.48167,"2020-09-09T20:00:00",0,54,3.1,1.6,127,36.717785,129,"MÁLAGA CMT",1013.8,76,1020.1,22.6,22.6,23.3,18.2,68
"6156X",-4.48167,"2020-09-09T21:00:00",0,54,2.9,1.9,132,36.717785,119,"MÁLAGA CMT",1014.5,80,1020.8,22.3,22.4,22.7,18.8,64
"6156X",-4.48167,"2020-09-09T22:00:00",0,54,2.5,0.8,97,36.717785,135,"MÁLAGA CMT",1014.9,82,1021.2,21.9,21.9,22.4,18.7,51
"6156X",-4.48167,"2020-09-09T23:00:00",0,54,2.2,0.6,111,36.717785,51,"MÁLAGA CMT",1015.1,68,1021.4,21.2,21.5,21.8,15.3,36
"6156X",-4.48167,"2020-09-10T00:00:00",0,54,1.7,0.3,328,36.717785,255,"MÁLAGA CMT",1015,80,1021.3,20.7,20.7,21.9,17.1,24
"6156X",-4.48167,"2020-09-10T01:00:00",0,54,2.1,0.8,322,36.717785,311,"MÁLAGA CMT",1014.6,73,1021,20.3,20.3,20.7,15.3,32
"6156X",-4.48167,"2020-09-10T02:00:00",0,54,3.3,1.8,285,36.717785,281,"MÁLAGA CMT",1014.1,64,1020.5,19.7,20,20.4,13,50
"6156X",-4.48167,"2020-09-10T03:00:00",0,54,4.2,2.4,287,36.717785,293,"MÁLAGA CMT",1013.8,67,1020.2,19.6,20,20.2,13.7,87
"6156X",-4.48167,"2020-09-10T04:00:00",0,54,4.2,2.6,305,36.717785,304,"MÁLAGA CMT",1013.3,65,1019.7,19.7,19.8,20.1,13.1,82
"6156X",-4.48167,"2020-09-10T05:00:00",0,54,4.8,2.4,281,36.717785,297,"MÁLAGA CMT",1013,62,1019.4,19.6,19.9,20.2,12.4,94
"6156X",-4.48167,"2020-09-10T06:00:00",0,54,4.7,2.2,303,36.717785,295,"MÁLAGA CMT",1013.3,65,1019.7,19.9,19.9,20.2,13.2,92
"6156X",-4.48167,"2020-09-10T07:00:00",0,54,3.6,1.3,313,36.717785,303,"MÁLAGA CMT",1013.5,61,1019.8,19.7,20.6,20.6,12.8,72
"6156X",-4.48167,"2020-09-10T08:00:00",0,54,3.4,1.5,284,36.717785,309,"MÁLAGA CMT",1013.2,50,1019.5,20.7,24.1,24.1,13.1,63
"6156X",-4.48167,"2020-09-10T09:00:00",0,54,4.4,3.4,255,36.717785,250,"MÁLAGA CMT",1012.9,44,1019.1,24.2,26.5,26.5,13.3,91
"6156X",-4.48167,"2020-09-10T10:00:00",0,54,4.2,1.4,216,36.717785,244,"MÁLAGA CMT",1012.5,38,1018.6,26.5,29.6,29.6,13.8,89
"6156X",-4.48167,"2020-09-10T11:00:00",0,54,4.2,2.5,151,36.717785,157,"MÁLAGA CMT",1011.9,37,1018,29.5,31.1,31.1,14.7,77
"6156X",-4.48167,"2020-09-10T12:00:00",0,54,5.6,3.4,148,36.717785,137,"MÁLAGA CMT",1011.4,37,1017.5,29.7,30.4,31,14,119
"6156X",-4.48167,"2020-09-10T13:00:00",0,54,7.4,3.6,144,36.717785,143,"MÁLAGA CMT",1010.9,40,1017,28.8,29.5,30.4,14.5,149
