"elaborado","nombre","provincia","id","version","origen.productor","origen.web","origen.enlace","origen.language","origen.copyright","origen.notaLegal","estadoCielo.value","estadoCielo.periodo","estadoCielo.descripcion","precipitacion.value","precipitacion.periodo","nieve.value","nieve.periodo","temperatura.value","temperatura.periodo","sensTermica.value","sensTermica.periodo","humedadRelativa.value","humedadRelativa.periodo","fecha","orto","ocaso","viento.direccion","viento.velocidad","viento.periodo","viento.value"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","02","Despejado","0","02","0","02","7","02","4","02","94","02","2023-02-27T00:00:00","07:54","19:13","NO","15","02","30"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","03","Despejado","0","03","0","03","6","03","3","03","92","03","2023-02-27T00:00:00","07:54","19:13","N","16","03","29"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","04","Despejado","0","04","0","04","6","04","3","04","93","04","2023-02-27T00:00:00","07:54","19:13","N","14","04","25"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","05","Despejado","0","05","0","05","5","05","2","05","93","05","2023-02-27T00:00:00","07:54","19:13","N","13","05","24"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","06","Despejado","0","06","0","06","5","06","2","06","96","06","2023-02-27T00:00:00","07:54","19:13","N","13","06","23"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11n","07","Despejado","0","07","0","07","4","07","1","07","95","07","2023-02-27T00:00:00","07:54","19:13","N","12","07","24"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","08","Despejado","0","08","0","08","4","08","1","08","95","08","2023-02-27T00:00:00","07:54","19:13","N","13","08","23"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","09","Despejado","0","09","0","09","5","09","2","09","85","09","2023-02-27T00:00:00","07:54","19:13","N","12","09","24"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","10","Despejado","0","10","0","10","7","10","5","10","79","10","2023-02-27T00:00:00","07:54","19:13","NO","11","10","24"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","11","Despejado","0","11","0","11","8","11","6","11","76","11","2023-02-27T00:00:00","07:54","19:13","NO","11","11","27"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","12","Despejado","0","12","0","12","10","12","10","12","68","12","2023-02-27T00:00:00","07:54","19:13","NO","12","12","34"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","13","Despejado","0","13","0","13","11","13","11","13","63","13","2023-02-27T00:00:00","07:54","19:13","O","16","13","40"
"2023-02-27T08:07:12","Gaucín","Málaga","29056","1.0","Agencia Estatal de Meteorología - AEMET. Gobierno de España","https://www.aemet.es","https://www.aemet.es/es/eltiempo/prediccion/municipios/horas/gaucin-id29056","es","© AEMET. Autorizado el uso de la información y su reproducción citando a AEMET como autora de la misma.","https://www.aemet.es/es/nota_legal","11","14","Despejado","0","14","0","14","12","14","12","14","61","14","2023-02-27T00:00:00","07:54","19:13","O","19","14","42"
