"","latitud","provincia","altitud","indicativo","nombre","indsinop","longitud","grados_lat","minutos_lat","segundos_lat","orient_lat","latitud_dec","grados_lon","minutos_lon","segundos_lon","orient_lon","longitud_dec"
"167","382040N","JAEN","770","5246","SANTA ELENA","08350","033207W",38,20,40,"N",38.3444444444444,3,32,7,"W",-3.53527777777778
"168","382921N","JAEN","862","5192","VILLARRODRIGO","08354","023815W",38,29,21,"N",38.4891666666667,2,38,15,"W",-2.6375
"169","375535N","SEVILLA","550","5704B","CAZALLA DE LA SIERRA","08392","054611W",37,55,35,"N",37.9263888888889,5,46,11,"W",-5.76972222222222
"170","373058N","SEVILLA","130","5641X","ÉCIJA","08395","050506W",37,30,58,"N",37.5161111111111,5,5,6,"W",-5.085
"171","371140N","SEVILLA","410","5612B","LA RODA DE ANDALUCÍA","08399","044612W",37,11,40,"N",37.1944444444444,4,46,12,"W",-4.77
"172","370952N","SEVILLA","87","5796","MORÓN DE LA FRONTERA","08397","053641W",37,9,52,"N",37.1644444444444,5,36,41,"W",-5.61138888888889
"173","372500N","SEVILLA","34","5783","SEVILLA AEROPUERTO","08391","055245W",37,25,0,"N",37.4166666666667,5,52,45,"W",-5.87916666666667
"174","370829N","ALMERIA","869","6302A","ABLA","08427","024647W",37,8,29,"N",37.1413888888889,2,46,47,"W",-2.77972222222222
"175","364450N","ALMERIA","8","6277B","ADRA","08486","030114W",36,44,50,"N",36.7472222222222,3,1,14,"W",-3.02055555555556
"176","355618N","ALMERIA","15","6381","ALBORÁN","08490","030210W",35,56,18,"N",35.9383333333333,3,2,10,"W",-3.03611111111111
"177","365047N","ALMERIA","21","6325O","ALMERÍA AEROPUERTO","08487","022125W",36,50,47,"N",36.8463888888889,2,21,25,"W",-2.35694444444444
"178","364952N","ALMERIA","7","6297","ALMERÍA","","022720W",36,49,52,"N",36.8311111111111,2,27,20,"W",-2.45555555555556
"179","365849N","ALMERIA","16","6332X","CARBONERAS","08488","015413W",36,58,49,"N",36.9802777777778,1,54,13,"W",-1.90361111111111
"180","372326N","ALMERIA","300","6367B","HUÉRCAL-OVERA","08428","015637W",37,23,26,"N",37.3905555555556,1,56,37,"W",-1.94361111111111
"181","364113N","ALMERIA","3","6293X","ROQUETAS DE MAR","08492","024206W",36,41,13,"N",36.6869444444444,2,42,6,"W",-2.70166666666667
"182","360050N","CADIZ","32","6001","TARIFA","08458","053556W",36,0,50,"N",36.0138888888889,5,35,56,"W",-5.59888888888889
"183","364322N","GRANADA","12","6268X","MOTRIL","08485","033149W",36,43,22,"N",36.7227777777778,3,31,49,"W",-3.53027777777778
"184","370146N","MALAGA","408","6106X","ANTEQUERA","08413","044454W",37,1,46,"N",37.0294444444444,4,44,54,"W",-4.74833333333333
"185","362501N","MALAGA","19","6058I","ESTEPONA","08463","050918W",36,25,1,"N",36.4169444444444,5,9,18,"W",-5.155
"186","363219N","MALAGA","8","6084X","FUENGIROLA","08480","043706W",36,32,19,"N",36.5386111111111,4,37,6,"W",-4.61833333333333
"187","363958N","MALAGA","5","6155A","MÁLAGA AEROPUERTO","08482","042856W",36,39,58,"N",36.6661111111111,4,28,56,"W",-4.48222222222222
"188","364304N","MALAGA","54","6156X","MÁLAGA, CENTRO METEOROLÓGICO","08481","042854W",36,43,4,"N",36.7177777777778,4,28,54,"W",-4.48166666666667
"189","364300N","MALAGA","25","6172O","MÁLAGA, PUERTO","08479","042511W",36,43,0,"N",36.7166666666667,4,25,11,"W",-4.41972222222222
"190","364459N","MALAGA","766","6032B","RONDA","08443","051006W",36,44,59,"N",36.7497222222222,5,10,6,"W",-5.16833333333333
"191","364335N","MALAGA","3","6205X","TORROX","08484","035726W",36,43,35,"N",36.7263888888889,3,57,26,"W",-3.95722222222222
"192","351635N","MELILLA","52","6000A","MELILLA","60338","025723W",35,16,35,"N",35.2763888888889,2,57,23,"W",-2.95638888888889
"193","383231N","ALBACETE","646","7096B","HELLÍN","08355","014211W",38,32,31,"N",38.5419444444444,1,42,11,"W",-1.70305555555556
"194","382359N","ALICANTE","575","7247X","PINOSO ","08357","010217W",38,23,59,"N",38.3997222222222,1,2,17,"W",-1.03805555555556
"195","372502N","MURCIA","26","7002Y","ÁGUILAS","08432","013513W",37,25,2,"N",37.4172222222222,1,35,13,"W",-1.58694444444444
"196","375728N","MURCIA","75","7228","ALCANTARILLA, BASE AÉREA","08429","011343W",37,57,28,"N",37.9577777777778,1,13,43,"W",-1.22861111111111
"197","380609N","MURCIA","643","7119B","CARAVACA DE LA CRUZ","08365","015238W",38,6,9,"N",38.1025,1,52,38,"W",-1.87722222222222
"198","373604N","MURCIA","17","7012C","CARTAGENA","08434","005916W",37,36,4,"N",37.6011111111111,0,59,16,"W",-0.987777777777778
"199","381358N","MURCIA","265","7145D","CIEZA","08363","012250W",38,13,58,"N",38.2327777777778,1,22,50,"W",-1.38055555555556
"200","373917N","MURCIA","312","7209","LORCA","08426","014114W",37,39,17,"N",37.6547222222222,1,41,14,"W",-1.68722222222222
"201","380007N","MURCIA","61","7178I","MURCIA","08430","011015W",38,0,7,"N",38.0019444444444,1,10,15,"W",-1.17083333333333
"202","374720N","MURCIA","4","7031","SAN JAVIER AEROPUERTO","08433","004812W",37,47,20,"N",37.7888888888889,0,48,12,"W",-0.803333333333333
"203","374642N","MURCIA","4","7031X","SAN JAVIER AEROPUERTO","08433","004821W",37,46,42,"N",37.7783333333333,0,48,21,"W",-0.805833333333333
