"","latitud","id_old","url","latitud_dec","altitud","capital","num_hab","zona_comarcal","destacada","nombre","longitud_dec","id","longitud"
"5895","40º19'30.167724""","44712","saldon-id44204","40.32504659","1400","Saldón","27","624401","0","Saldón","-1.42790593","44204","-1º25'40.461348"""
"5896","38º51'13.06026""","46663","salem-id46221","38.85362785","364","Salem","438","774603","0","Salem","-0.38054218","46221","-0º22'49.951848"""
"5897","42º14'8.421396""","17584","sales-de-llierca-id17154","42.23567261","261","Sales de Llierca","133","691702","0","Sales de Llierca","2.65000194","17154","2º39'0.006984"""
"5898","41º59'36.568752""","22648","salillas-id22203","41.99349132","425","Salillas","107","622202","0","Salillas","-0.22509197","22203","-0º13'30.331092"""
"5899","41º33'57.904524""","50675","salillas-de-jalon-id50231","41.56608459","329","Salillas de Jalón","324","625002","0","Salillas de Jalón","-1.32290909","50231","-1º19'22.472724"""
"5900","38º31'12.25182""","03565","salinas-id03116","38.52006995","493","Salinas","1583","770302","0","Salinas","-0.91278122","03116","-0º54'46.012392"""
"5901","42º46'32.857716""","31639","salinas-de-oro-jaitz-id31214","42.77579381","684","Salinas de Oro/Jaitz","118","743102","0","Salinas de Oro/Jaitz","-1.88913875","31214","-1º53'20.8995"""
"5902","42º50'56.075028""","34532","salinas-de-pisuerga-id34158","42.84890973","946","Salinas de Pisuerga","356","673401","0","Salinas de Pisuerga","-4.37817784","34158","-4º22'41.440224"""
"5903","40º5'18.591756""","16668","salinas-del-manzano-id16187","40.08849771","1132","Salinas del Manzano","91","681602","0","Salinas del Manzano","-1.55634669","16187","-1º33'22.848084"""
"5904","39º20'19.298724""","07580","salines-ses-id07059","39.33869409","42","Salines, Ses","5050","645404","0","Salines, Ses","3.05568485","07059","3º3'20.46546"""
"5905","42º33'10.421532""","09612","salinillas-de-bureba-id09334","42.55289487","897","Salinillas de Bureba","51","670904","0","Salinillas de Bureba","-3.38848274","09334","-3º23'18.537864"""
"5906","41º49'25.16772""","08570","sallent-id08191","41.82365770","278","Sallent","6780","690802","0","Sallent","1.89657043","08191","1º53'47.653548"""
"5907","42º46'21.830988""","22652","sallent-de-gallego-id22204","42.77273083","1304","Sallent de Gállego","1484","622201","1","Sallent de Gállego","-0.33156802","22204","-0º19'53.644872"""
"5908","40º30'16.988256""","16672","salmeroncillos-salmeroncillos-de-abajo-id16188","40.50471896","761","Salmeroncillos de Abajo","130","681601","0","Salmeroncillos","-2.52128273","16188","-2º31'16.617828"""
